brand,title,price
Gionee ,S10 LITE 4GB RAM 32GB ROM Qualcomm Snapdragon 427 5.2”HD Android 7.1 4G LTE Smartphone - Gold,"₦38,890"
Gionee ,"F6 5.7-inch (3GB, 32GB)  Android 7.1 Nougat, (13MP + 2MP) + 8MP, Dual Sim 4G LTE Smartphone - Black","₦33,890"
LOOKA ,Power Bank 10000mAh Li-Battery Dual USB Port - Gold,"₦3,490"
Oukitel ,"C12 Pro 6.18"" (2GB RAM 16GB ROM),Android 8.1,(8MP + 2MP) + 5MP 4G Smartphone With Case EU - Purple","₦27,990"
Generic ,Hot Sale SIM/TF Bluetooth Sport Pedometer Wrist Watch A1G08 Smart Watch For Android Smartphone And Apple 5 5S 6 6 Plus (white),"₦3,399"
Vernee ,"T3 Pro-5.5""-4G LTE-3GB+16GB-13MP-4080mAh-Android 8.1-2 SIM-MTK6739 Quad-core Smartphone Blue","₦29,999"
Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver","₦314,900"
Apple ,IPhone 6 4.7 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Gift) – Gold,"₦65,900"
Nokia ,"X5 - 5.86-Inch HD+ (3GB RAM + 32GB ROM) Android 8.1, (13.0MP + 5.0MP) + 8.0MP, 4G LTE Dual SIM Smartphone - Blue","₦46,590"
Gionee ,"S10 Lite 5.2-inch (4GB, 32GB ROM) Android 7.1, 3100mAh, 13MP+16MP, 4G LTE Smartphone - Gold","₦34,990"
Generic ,HOT SALE 10.1'' 4G+64GB Android 7.0 Tablet PC Octa 8 Core HD WIFI Bluetooth 2 SIM 4G - Gold,"₦23,999"
Apple ,Iphone X 64gb Silver With Tempered Glass,"₦324,950"
Allwin ,TWS I7 Earbuds Wireless Bluetooth Earphones Stereo Music For Mobile Phone,"₦1,010"
Generic ,Smart Phone 5.0-Inch Android Smartphone (4GB RAM+32GB ROM) Dual SIM 3G Mobile Phone-Gold,"₦20,899"
Tecno ,"40,000mAh Power Bank Plus Tecno/Android Charger & LED Light","₦3,300"
Samsung ,GALAXY S9+6.2-inch RAM 6G+ROM 256G Dual Camera 12MP  Smartphone,"₦99,999"
Generic ,Wireless Earphone BT Earbud Anti-noise Stereo Headset With Portable Charging Box-White,"₦2,200"
Apple ,"IPhone 6 Plus 5.5"" 64GB With Finger Sensor 4G LTE (Gift) --Silver","₦109,000"
Generic ,Waterproof Smartwatch With Music Player For Phone（black）,"₦3,980"
Samsung ,"Galaxy J4 Plus - 6 Inch (32GB + 2GB Ram, Rear 13MP + 5MP Selfie) 8.1 Oreo, Dual Sim, 4G LTE - Black","₦49,900"
Generic ,Bluetooth 4.0 Wireless Ultra-small S530 Earphone - White,"₦1,150"
LOOKA ,Power Bank 10000mAh Li-Battery Dual USB Port - Blue,"₦3,490"
Partner ,"Mobile PS2 5.5-inch (3GB, 16GB ROM) Android 5.1, 20MP+13MP, 3500mAh, Dual Sim 4G Smartphone - Gold","₦24,490"
Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver","₦429,500"
Generic ,Running Wireless Bluetooth Earphones Stereo Bass HD Aural In-Ear-white,₦750
Fashion ,Waterproof Bluetooth Smart Watch Sport Intelligent Pedometer Fitness  Black,"₦3,999"
Apple ,"IPhone XS Max (4GB RAM, 512GB ROM) IOS 12 (12MP + 12MP)+7MP - Space Gray - Dual SIM (nano-SIM)","₦520,999"
Oukitel ,"C12 Pro 6.18-Inch(2GB RAM 16GB ROM),Android 8.1,(8MP + 2MP) + 5MP 4G Smartphone With Case EU - Gold","₦27,990"
Generic ,Home-200000MAH Waterproof Solar External Power Bank For Mobile Phones With Cable- Orange,"₦4,208"
Ulefone ,"Power 3S - 6-inch FHD+ (4GB RAM, 64GB ROM) 6350mAh, Android 7.1, 16 MP & 5 MP + 13 MP & 5 MP, Dual SIM 4G LTE Smartphone - Black","₦48,990"
UMIDIGI ,"A3 Pro Globale Della Fascia 5.7 "" Smartphone 3GB+32GB Android 8.1 12MP+5MP","₦33,500"
Soda ,"S2 6.1 9 HD + 3GB+32GB With Fingerprint, Android 8.1 4,000 MAh Dual Sim 4G Smartphone - Gold","₦39,990"
Mi ,"(Xiaomi) Redmi 6A 5.45-Inch (2GB, 16GB ROM) 13MP + 5MP Dual SIM 4G AI Face Unlock Smartphone - Gold","₦31,450"
Infinix ,Fast Charger + FREE Earpiece And USB Cable_White,"₦1,377"
Apple ,IPhone 7 Plus 32GB - Rose Gold U.S. Edition Product,"₦197,000"
Excelvan ,M10K6 - 10.1” 3G Android 6.0 2GB+16GB Dual SIM Card Tablet PC-Black,"₦24,788"
Cubot ,"J3 -3G Phablet - 5.0"" Face ID (1GB, 16GB ROM) 7 Days Standby Time Quad-core 1.3GHz - Gray","₦16,990"
Apple ,IPhone 5S 16GB  With Finger Sensor 4G LTE ( Gift ) Silver,"₦41,000"
Generic ,Wireless Earphone BT Earbud Anti-noise Stereo Headset With Portable Charging Box,"₦2,200"
Generic ,Hot Sale Bluetooth Smart Watch Q18 With Camera Facebook Whatsapp Sync SMS MP3 Smart Watch Support SIM TF Card For IOS Android Phone(Black) ?-black,"₦3,399"
EA ,FIFA 19 - Standard - PlayStation 4,"₦13,440"
Sony ,PS4 Pro 1TB 4K Console ,"₦164,990"
Sony Computer Entertainment ,PS4 Controller Pad - Dualshock 4 Wireless Controller - Army,"₦10,990"
Sony ,PS4 Slim Console 500GB - Jet Black,"₦110,990"
Generic ,Video Game Console 8GB Free 2000 Games 4.3 Inch MP5 - Black,"₦12,300"
Sony Computer Entertainment ,PS3 Slim Console 320GB Plus 2 Controllers & 21 Latest Games Including FIFA 2019 & FIFA 2018 + PES 2018 Downloaded Inside,"₦54,000"
Gen Game ,"Gen Game S5 Wireless Bluetooth Controller Game Pad For IOS, IPhone, IPad, Android, PC, Smart Phone, Smart TV-Black/White","₦3,950"
Sony ,PS4 500GB With FIFA 19 Bundle Latest Edition,"₦120,490"
Sony ,PS4 Slim 500GB Console + Pro Evolution Soccer (PES) 2019 ,"₦120,000"
Konami ,Pro Evolution Soccer (PES) 2019 - PlayStation 4,"₦10,690"
Apple ,$100 USA ITunes Gift Card,"₦50,400"
Sony ,Game Red Dead Redemption 2,"₦18,000"
Sony ,PS3 Pad - DualShock 3 Wireless Controller,"₦2,900"
Sony Computer Entertainment ,Play Station 3 Slim (320GB) Console With (10 Games) With Extra Pad Controller,"₦58,800"
Generic ,4.3-Inch MP5 PSP Game Camera Video E-book Music Built-in A 8GB Memory Card And 3000 Video Games,"₦10,980"
Microsoft ,Xbox 360 Controller - Microsoft Xbox 360 Pad For PC & Official Xbox 360 Console - Black,"₦3,950"
2K Games ,WWE 2K19 PS4 Game,"₦11,340"
Generic ,PuBg Controller,"₦1,676"
Microsoft ,Xbox One Console,"₦70,000"
Sony ,PS4 500GB FIFA 19 Bundle - With FIFA 19 Ultimate Team Icons And Rare Player Pack Jet Black,"₦120,500"
Sony Computer Entertainment ,Playstation 2 Slim+2 Pads With 15games (latest Edition),"₦19,500"
Generic ,PS4 Controller Charger Dual USB Station Controller Charger,"₦2,785"
Sony ,PS2 Wireless Pad,"₦2,550"
Microsoft ,XBOX ONE X 1TB CONSOLE,"₦173,999"
Sony ,Mortal Kombat XL - PS4 Game,"₦8,450"
Marvel ,Playstation 4 Game Spider-Man,"₦15,890"
Generic ,16G PSP Handheld Game Console X16 7 Inch Screen (Black),"₦32,880"
Generic ,TA Universal External Hard Disk Drive Enclosure Support 1TB,"₦7,770"
Generic ,Goose Egg Gamepad Hand Grip Clip Stand For Smart Phone Gaming Handle Black,₦520
Generic ,Battery Cover Case For Xbox 360 Wireless Controller - Black,₦700
Sony ,PlayStation 4 Slim Console 500GB,"₦110,990"
Microsoft ,Xbox 360 Controller Pad For Official Xbox 360 Console & Windows - White,"₦3,990"
Sony ,PlayStation 4 Console Slim 500GB + Fifa 19 Game,"₦120,500"
Sony ,Ps4 Game Fifa 19,"₦13,500"
Sony ,PS4 Last Of Us : Remastered,"₦9,000"
Sony ,PS VITA SLIM - WIFI - Includes 32Gb Memory Card Plus 20 Latest Games Installed- Black,"₦69,990"
Generic ,Silicone Analog Controller Thumb Stick Grips Caps Covers Thumbstick Grips For Xbox360/Xbox One/PS3/PS4 Controller Blue,₦128
Generic ,Miracast Wifi Display TV Dongle Wireless Receiver 1080P HD AirPlay DLNA Share Wireless Wi-Fi Display Dongle Receiver,"₦3,060"
Sony ,Playstation 4 Game Naughty Dog Uncharted 4,"₦5,990"
Sony ,Playstation 4  Console - 500gb + Extra Pad + Fifa19 + Pes 19  In CDs + Rock Band 4  In CDs + Mortal Combact XL In CDs + Gta5 + New God Of War +  Resident Evil2 + Hustle King + Evil Within  +  Last  Of Us + Wiedza  To Potiga CDs  (12 Larest Games In Total),"₦189,999"
Saisho ,3-In-1 Grinder/Blender 1.0 Litre S-742 - White,"₦3,650"
Midea ,MM720 20-Litre Microwave Oven - White,"₦15,990"
